time,x,y,S1,S2,S3,S4
0.000000,0.000000,0.000000,0.288089,-0.390111,0.321415,-0.224768
0.000000,0.100000,0.000000,0.224911,-0.303856,0.249961,-0.174079
0.000000,0.200000,0.000000,0.176631,-0.236741,0.193710,-0.132965
0.000000,0.300000,0.000000,0.140327,-0.184560,0.149055,-0.098645
0.000000,0.400000,0.000000,0.112788,-0.143970,0.113797,-0.070612
0.000000,0.500000,0.000000,0.090505,-0.112302,0.086884,-0.050264
0.000000,0.600000,0.000000,0.071112,-0.087503,0.067256,-0.038034
0.000000,0.700000,0.000000,0.054356,-0.068079,0.053049,-0.031441
0.000000,0.800000,0.000000,0.040964,-0.052928,0.042209,-0.026914
0.000000,0.900000,0.000000,0.031025,-0.041162,0.033445,-0.022518
0.000000,1.000000,0.000000,0.023803,-0.032033,0.026282,-0.018175
0.000000,0.000000,0.100000,0.288599,-0.390145,0.321083,-0.223864
0.000000,0.100000,0.100000,0.226953,-0.303992,0.248628,-0.170456
0.000000,0.200000,0.100000,0.182647,-0.237144,0.189781,-0.122292
0.000000,0.300000,0.100000,0.153341,-0.185431,0.140555,-0.075556
0.000000,0.400000,0.100000,0.133464,-0.145355,0.100293,-0.033929
0.000000,0.500000,0.100000,0.114631,-0.113918,0.071127,-0.007460
0.000000,0.600000,0.100000,0.091788,-0.088888,0.053752,-0.001351
0.000000,0.700000,0.100000,0.067370,-0.068951,0.044550,-0.008352
0.000000,0.800000,0.100000,0.046980,-0.053331,0.038280,-0.016241
0.000000,0.900000,0.100000,0.033068,-0.041298,0.032111,-0.018895
0.000000,1.000000,0.100000,0.024312,-0.032067,0.025949,-0.017271
0.000000,0.000000,0.200000,0.289918,-0.390234,0.320221,-0.221523
0.000000,0.100000,0.200000,0.232247,-0.304347,0.245170,-0.161064
0.000000,0.200000,0.200000,0.198238,-0.238189,0.179598,-0.094631
0.000000,0.300000,0.200000,0.187068,-0.187691,0.118527,-0.015718
0.000000,0.400000,0.200000,0.187050,-0.148944,0.065296,0.061140
0.000000,0.500000,0.200000,0.177158,-0.118107,0.030290,0.103473
0.000000,0.600000,0.200000,0.145374,-0.092478,0.018755,0.093718
0.000000,0.700000,0.200000,0.101098,-0.071210,0.022522,0.051486
0.000000,0.800000,0.200000,0.062571,-0.054376,0.028097,0.011421
0.000000,0.900000,0.200000,0.038361,-0.041653,0.028654,-0.009503
0.000000,1.000000,0.200000,0.025632,-0.032155,0.025087,-0.014929
0.000000,0.000000,0.300000,0.292243,-0.390389,0.318702,-0.217398
0.000000,0.100000,0.300000,0.241569,-0.304971,0.239082,-0.144525
0.000000,0.200000,0.300000,0.225697,-0.240028,0.161665,-0.045914
0.000000,0.300000,0.300000,0.246468,-0.191670,0.079733,0.089667
0.000000,0.400000,0.300000,0.281423,-0.155266,0.003660,0.228573
0.000000,0.500000,0.300000,0.287279,-0.125483,-0.041631,0.298845
0.000000,0.600000,0.300000,0.239747,-0.098799,-0.042881,0.261152
0.000000,0.700000,0.300000,0.160498,-0.075189,-0.016273,0.156871
0.000000,0.800000,0.300000,0.090030,-0.056215,0.010163,0.060137
0.000000,0.900000,0.300000,0.047684,-0.042278,0.022566,0.007037
0.000000,1.000000,0.300000,0.027957,-0.032311,0.023569,-0.010805
0.000000,0.000000,0.400000,0.294788,-0.390560,0.317040,-0.212883
0.000000,0.100000,0.400000,0.251777,-0.305655,0.232415,-0.126415
0.000000,0.200000,0.400000,0.255762,-0.242042,0.142028,0.007427
0.000000,0.300000,0.400000,0.311507,-0.196026,0.037255,0.205057
0.000000,0.400000,0.400000,0.384755,-0.162188,-0.063827,0.411901
0.000000,0.500000,0.400000,0.407854,-0.133560,-0.120379,0.512764
0.000000,0.600000,0.400000,0.343079,-0.105721,-0.110368,0.444479
0.000000,0.700000,0.400000,0.225536,-0.079545,-0.058750,0.272260
0.000000,0.800000,0.400000,0.120096,-0.058229,-0.009473,0.113478
0.000000,0.900000,0.400000,0.057891,-0.042961,0.015899,0.025147
0.000000,1.000000,0.400000,0.030502,-0.032481,0.021907,-0.006289
0.000000,0.000000,0.500000,0.295934,-0.390637,0.316292,-0.210849
0.000000,0.100000,0.500000,0.256373,-0.305963,0.229413,-0.118260
0.000000,0.200000,0.500000,0.269300,-0.242949,0.133187,0.031445
0.000000,0.300000,0.500000,0.340792,-0.197988,0.018129,0.257014
0.000000,0.400000,0.500000,0.431283,-0.165304,-0.094215,0.494449
0.000000,0.500000,0.500000,0.462145,-0.137197,-0.155838,0.609086
0.000000,0.600000,0.500000,0.389607,-0.108838,-0.140756,0.527027
0.000000,0.700000,0.500000,0.254822,-0.081507,-0.077877,0.324217
0.000000,0.800000,0.500000,0.133634,-0.059136,-0.018315,0.137496
0.000000,0.900000,0.500000,0.062487,-0.043269,0.012897,0.033301
0.000000,1.000000,0.500000,0.031648,-0.032558,0.021158,-0.004256
0.000000,0.000000,0.600000,0.294788,-0.390560,0.317040,-0.212883
0.000000,0.100000,0.600000,0.251777,-0.305655,0.232415,-0.126415
